Macrocategoria;Linea;Superficie;Forma;Profilo;Codice Prodotto;Larghezza (mm);Altezza (mm);Proiezione (mm);Arco (mm);LVC (mm);Volume (ml)
Protesi Mammarie;B-Lite;MESMO;Replicon;Alto;15636-500LW25;143;143;56;77;103;500
Protesi Mammarie;B-Lite;MESMO;Replicon;Alto;15636-550LW25;148;148;58;79;107;550
Protesi Mammarie;B-Lite;MESMO;Replicon;Alto;15636-610LW25;153;153;59;82;110;610
Protesi Mammarie;B-Lite;MESMO;Replicon;Alto;15636-670LW25;158;158;61;84;114;670
Protesi Mammarie;B-Lite;MESMO;Replicon;Extra Alto;15637-200LW25;98;98;49;61;79;200
Protesi Mammarie;B-Lite;MESMO;Replicon;Extra Alto;15637-230LW25;103;103;51;63;83;230
Protesi Mammarie;B-Lite;MESMO;Replicon;Extra Alto;15637-265LW25;108;108;53;66;87;265
Protesi Mammarie;B-Lite;MESMO;Replicon;Extra Alto;15637-300LW25;113;113;55;69;90;300
Protesi Mammarie;B-Lite;MESMO;Replicon;Extra Alto;15637-345LW25;118;118;57;72;94;345
Protesi Mammarie;B-Lite;MESMO;Replicon;Extra Alto;15637-385LW25;123;123;59;75;98;385
Protesi Mammarie;B-Lite;MESMO;Replicon;Extra Alto;15637-435LW25;128;128;61;78;102;435
Protesi Mammarie;B-Lite;MESMO;Replicon;Extra Alto;15637-485LW25;133;133;63;80;105;485
Protesi Mammarie;B-Lite;MESMO;Replicon;Extra Alto;15637-545LW25;138;138;65;83;109;545
Protesi Mammarie;B-Lite;MESMO;Replicon;Extra Alto;15637-605LW25;143;143;67;86;113;605
Protesi Mammarie;B-Lite;MESMO;Replicon;Extra Alto;15637-665LW25;148;148;69;89;117;665
Protesi Mammarie;B-Lite;MESMO;Replicon;Extra Alto;15637-735LW25;153;153;71;92;121;735
Protesi Mammarie;B-Lite;MESMO;Replicon;Extra Alto;15637-810LW25;158;158;73;95;124;810
Protesi Mammarie;B-Lite;MESMO;Opticon;Moderato;15645-170LW25;113;95;37;51;67;170
Protesi Mammarie;B-Lite;MESMO;Opticon;Moderato;15645-190LW25;118;100;39;53;70;190
Protesi Mammarie;B-Lite;MESMO;Opticon;Moderato;15645-215LW25;123;104;40;55;72;215
Protesi Mammarie;B-Lite;MESMO;Opticon;Moderato;15645-240LW25;128;108;41;57;75;240
Protesi Mammarie;B-Lite;MESMO;Opticon;Moderato;15645-270LW25;133;112;42;59;78;270
Protesi Mammarie;B-Lite;MESMO;Opticon;Moderato;15645-300LW25;138;116;44;61;81;300
Protesi Mammarie;B-Lite;MESMO;Opticon;Moderato;15645-330LW25;143;121;45;63;83;330
Protesi Mammarie;B-Lite;MESMO;Opticon;Moderato;15645-365LW25;148;125;46;65;86;365
Protesi Mammarie;B-Lite;MESMO;Opticon;Alto;15646-210LW25;113;95;46;58;75;210
Protesi Mammarie;B-Lite;MESMO;Opticon;Alto;15646-240LW25;118;100;48;61;78;240
Protesi Mammarie;B-Lite;MESMO;Opticon;Alto;15646-270LW25;123;104;49;63;81;270
Protesi Mammarie;B-Lite;MESMO;Opticon;Alto;15646-305LW25;128;108;51;65;84;305
Protesi Mammarie;B-Lite;MESMO;Opticon;Alto;15646-340LW25;133;112;53;68;87;340
Protesi Mammarie;B-Lite;MESMO;Opticon;Alto;15646-380LW25;138;116;54;70;90;380
Protesi Mammarie;B-Lite;MESMO;Opticon;Alto;15646-420LW25;143;121;56;72;93;420
Protesi Mammarie;B-Lite;MESMO;Opticon;Alto;15646-465LW25;148;125;58;75;96;465
Protesi Mammarie;B-Lite;MESMO;Opticon;Alto;15646-510LW25;153;129;59;77;99;510
Protesi Mammarie;B-Lite;MESMO;Opticon;Extra Alto;15647-290LW25;118;100;57;69;86;290
Protesi Mammarie;B-Lite;MESMO;Opticon;Extra Alto;15647-325LW25;123;104;59;71;89;325
Protesi Mammarie;B-Lite;MESMO;Opticon;Extra Alto;15647-365LW25;128;108;61;74;93;365
Protesi Mammarie;B-Lite;MESMO;Opticon;Extra Alto;15647-410LW25;133;112;63;77;96;410
Protesi Mammarie;B-Lite;Microthane;Même;Moderato;30625-130LW25;96;96;34;62;62;130
Protesi Mammarie;B-Lite;Microthane;Même;Moderato;30625-150LW25;101;101;36;65;65;150
Protesi Mammarie;B-Lite;Microthane;Même;Moderato;30625-175LW25;106;106;37;68;68;175
Protesi Mammarie;B-Lite;Microthane;Même;Moderato;30625-200LW25;111;111;38;71;71;200
Protesi Mammarie;B-Lite;Microthane;Même;Moderato;30625-230LW25;116;116;39;74;74;230
Protesi Mammarie;B-Lite;Microthane;Même;Moderato;30625-260LW25;121;121;41;77;77;260
Protesi Mammarie;B-Lite;Microthane;Même;Moderato;30625-290LW25;126;126;42;80;80;290
Protesi Mammarie;B-Lite;Microthane;Même;Moderato;30625-325LW25;131;131;43;83;83;325
Protesi Mammarie;B-Lite;Microthane;Même;Moderato;30625-365LW25;136;136;44;86;86;365
Protesi Mammarie;B-Lite;Microthane;Même;Moderato;30625-405LW25;141;141;46;89;89;405
Protesi Mammarie;B-Lite;Microthane;Même;Moderato;30625-450LW25;146;146;47;92;92;450
Protesi Mammarie;B-Lite;Microthane;Même;Alto;30626-190LW25;101;101;43;71;71;190
Protesi Mammarie;B-Lite;Microthane;Même;Alto;30626-215LW25;106;106;45;74;74;215
Protesi Mammarie;B-Lite;Microthane;Même;Alto;30626-250LW25;111;111;46;77;77;250
Protesi Mammarie;B-Lite;Microthane;Même;Alto;30626-285LW25;116;116;48;80;80;285
Protesi Mammarie;B-Lite;Microthane;Même;Alto;30626-325LW25;121;121;50;83;83;325
Protesi Mammarie;B-Lite;Microthane;Même;Alto;30626-365LW25;126;126;51;87;87;365
Protesi Mammarie;B-Lite;Microthane;Même;Alto;30626-410LW25;131;131;53;90;90;410
Protesi Mammarie;B-Lite;Microthane;Même;Alto;30626-460LW25;136;136;55;93;93;460
Protesi Mammarie;B-Lite;Microthane;Même;Alto;30626-510LW25;141;141;56;96;96;510
Protesi Mammarie;B-Lite;Microthane;Même;Alto;30626-565LW25;146;146;58;100;100;565
Protesi Mammarie;B-Lite;Microthane;Même;Alto;30626-625LW25;151;151;60;103;103;625
Protesi Mammarie;B-Lite;Microthane;Même;Alto;30626-690LW25;156;156;61;106;106;690
Protesi Mammarie;B-Lite;Microthane;Même;Extra Alto;30627-260LW25;106;106;53;80;80;260
Protesi Mammarie;B-Lite;Microthane;Même;Extra Alto;30627-300LW25;111;111;55;84;84;300
Protesi Mammarie;B-Lite;Microthane;Même;Extra Alto;30627-345LW25;116;116;57;87;87;345
Protesi Mammarie;B-Lite;Microthane;Même;Extra Alto;30627-390LW25;121;121;59;91;91;390
Protesi Mammarie;B-Lite;Microthane;Même;Extra Alto;30627-440LW25;126;126;61;94;94;440
Protesi Mammarie;B-Lite;Microthane;Même;Extra Alto;30627-495LW25;131;131;63;98;98;495
Protesi Mammarie;B-Lite;Microthane;Même;Extra Alto;30627-555LW25;136;136;65;101;101;555
Protesi Mammarie;B-Lite;Microthane;Même;Extra Alto;30627-615LW25;141;141;67;105;105;615
Protesi Mammarie;B-Lite;Microthane;Même;Extra Alto;30627-685LW25;146;146;69;108;108;685
Protesi Mammarie;B-Lite;Microthane;Même;Extra Alto;30627-755LW25;151;151;71;112;112;755
Protesi Mammarie;B-Lite;Microthane;Même;Extra Alto;30627-835LW25;156;156;73;115;115;835
Protesi Mammarie;B-Lite;Microthane;Même;Extra Alto;30627-920LW25;161;161;75;119;119;920
Protesi Mammarie;B-Lite;Microthane;Replicon;Moderato;30635-155LW25;106;106;37;52;72;155
Protesi Mammarie;B-Lite;Microthane;Replicon;Moderato;30635-175LW25;111;111;38;55;75;175
Protesi Mammarie;B-Lite;Microthane;Replicon;Moderato;30635-200LW25;116;116;39;57;78;200
Protesi Mammarie;B-Lite;Microthane;Replicon;Moderato;30635-230LW25;121;121;41;59;82;230
Protesi Mammarie;B-Lite;Microthane;Replicon;Moderato;30635-255LW25;126;126;42;61;85;255
Protesi Mammarie;B-Lite;Microthane;Replicon;Moderato;30635-290LW25;131;131;43;63;88;290
Protesi Mammarie;B-Lite;Microthane;Replicon;Moderato;30635-320LW25;136;136;44;66;91;320
Protesi Mammarie;B-Lite;Microthane;Replicon;Moderato;30635-355LW25;141;141;46;68;94;355
Protesi Mammarie;B-Lite;Microthane;Replicon;Moderato;30635-395LW25;146;146;47;70;97;395
Protesi Mammarie;B-Lite;Microthane;Replicon;Moderato;30635-435LW25;151;151;48;72;100;435
Protesi Mammarie;B-Lite;Microthane;Replicon;Moderato;30635-480LW25;156;156;49;74;103;480
Protesi Mammarie;B-Lite;Microthane;Replicon;Alto;30636-190LW25;106;106;45;59;79;190
Protesi Mammarie;B-Lite;Microthane;Replicon;Alto;30636-220LW25;111;111;46;62;83;220
Protesi Mammarie;B-Lite;Microthane;Replicon;Alto;30636-250LW25;116;116;48;64;86;250
Protesi Mammarie;B-Lite;Microthane;Replicon;Alto;30636-285LW25;121;121;50;67;89;285
Protesi Mammarie;B-Lite;Microthane;Replicon;Alto;30636-320LW25;126;126;51;69;93;320
Protesi Mammarie;B-Lite;Microthane;Replicon;Alto;30636-360LW25;131;131;53;72;96;360
Protesi Mammarie;B-Lite;Microthane;Replicon;Alto;30636-405LW25;136;136;55;74;100;405
Protesi Mammarie;B-Lite;Microthane;Replicon;Alto;30636-450LW25;141;141;56;77;103;450
Protesi Mammarie;B-Lite;Microthane;Replicon;Alto;30636-500LW25;146;146;58;79;107;500
Protesi Mammarie;B-Lite;Microthane;Replicon;Alto;30636-550LW25;151;151;60;82;110;550
Protesi Mammarie;B-Lite;Microthane;Replicon;Alto;30636-610LW25;156;156;61;84;114;610
Protesi Mammarie;B-Lite;Microthane;Replicon;Alto;30636-670LW25;161;161;63;87;117;670
Protesi Mammarie;B-Lite;Microthane;Replicon;Extra Alto;30637-230LW25;106;106;53;66;87;230
Protesi Mammarie;B-Lite;Microthane;Replicon;Extra Alto;30637-265LW25;111;111;55;69;90;265
Protesi Mammarie;B-Lite;Microthane;Replicon;Extra Alto;30637-300LW25;116;116;57;72;94;300
Protesi Mammarie;B-Lite;Microthane;Replicon;Extra Alto;30637-345LW25;121;121;59;75;98;345
Protesi Mammarie;B-Lite;Microthane;Replicon;Extra Alto;30637-385LW25;126;126;61;78;102;385
Protesi Mammarie;B-Lite;Microthane;Replicon;Extra Alto;30637-435LW25;131;131;63;80;105;435
Protesi Mammarie;B-Lite;Microthane;Replicon;Extra Alto;30637-485LW25;136;136;65;83;109;485
Protesi Mammarie;B-Lite;Microthane;Replicon;Extra Alto;30637-545LW25;141;141;67;86;113;545
Protesi Mammarie;B-Lite;Microthane;Replicon;Extra Alto;30637-605LW25;146;146;69;89;117;605
