LINEA;SUPERFICIE;PROFILO;ALTEZZA;VOLUME (CC);LARGHEZZA/DIAMETRO (cm);ALTEZZA (cm);PROIEZIONE (cm);ARCO (cm);CODICE PRODOTTO;SIZER GEL;COESIVITA';
CPG™ 332;SILTEX® Microtesturizzate;Moderato Plus;Alta;350;12;12.5;5.1;10.5;3341209;RSZ1209;Coesivo III;
CPG™ 332;SILTEX® Microtesturizzate;Moderato Plus;Alta;395;12.5;13;5.3;10.9;3341259;RSZ1259;Coesivo III;
CPG™ 332;SILTEX® Microtesturizzate;Moderato Plus;Alta;445;13;13.5;5.5;11.3;3341309;RSZ1309;Coesivo III;
CPG™ 332;SILTEX® Microtesturizzate;Moderato Plus;Alta;495;13.5;14.1;5.7;11.7;3341359;RSZ1359;Coesivo III;
CPG™ 332;SILTEX® Microtesturizzate;Moderato Plus;Alta;555;14;14.6;5.9;12.1;3341409;RSZ1409;Coesivo III;
CPG™ 332;SILTEX® Microtesturizzate;Moderato Plus;Alta;615;14.5;15.1;6.1;12.6;3341459;RSZ1459;Coesivo III;
CPG™ 332;SILTEX® Microtesturizzate;Moderato Plus;Alta;680;15;15.6;6.3;13.0;3341509;RSZ1509;Coesivo III;
CPG™ 333;SILTEX® Microtesturizzate;Alto;Alta;180;9;9.4;4.6;8.4;3340904;RSZ4090;Coesivo III;
CPG™ 333;SILTEX® Microtesturizzate;Alto;Alta;215;9.5;9.9;4.8;8.8;3340954;RSZ4095;Coesivo III;
CPG™ 333;SILTEX® Microtesturizzate;Alto;Alta;250;10;10.4;5.1;9.3;3341004;RSZ4100;Coesivo III;
CPG™ 333;SILTEX® Microtesturizzate;Alto;Alta;290;10.5;10.9;5.3;9.7;3341054;RSZ4105;Coesivo III;
CPG™ 333;SILTEX® Microtesturizzate;Alto;Alta;330;11;11.5;5.6;10.1;3341104;RSZ4110;Coesivo III;
CPG™ 333;SILTEX® Microtesturizzate;Alto;Alta;380;11.5;12;5.8;10.5;3341154;RSZ4115;Coesivo III;
CPG™ 333;SILTEX® Microtesturizzate;Alto;Alta;430;12;12.5;6;11.0;3341204;RSZ4120;Coesivo III;
CPG™ 333;SILTEX® Microtesturizzate;Alto;Alta;485;12.5;13;6.2;11.4;3341254;RSZ4125;Coesivo III;
CPG™ 333;SILTEX® Microtesturizzate;Alto;Alta;545;13;13.5;6.5;11.8;3341304;RSZ4130;Coesivo III;
CPG™ 333;SILTEX® Microtesturizzate;Alto;Alta;610;13.5;14.1;6.7;12.2;3341354;RSZ4135;Coesivo III;
CPG™ 333;SILTEX® Microtesturizzate;Alto;Alta;680;14;14.6;6.9;12.7;3341404;RSZ4140;Coesivo III;
CPG™ 333;SILTEX® Microtesturizzate;Alto;Alta;755;14.5;15.1;7.1;13.1;3341454;RSZ4145;Coesivo III;
BECKER™ 25 SILTEX®;SILTEX® Microtesturizzate;Rotonda;Rotonda;150;10.7;-;2.4;-;3541500;-;Coesivo I;
BECKER™ 25 SILTEX®;SILTEX® Microtesturizzate;Rotonda;Rotonda;200;11.6;-;2.7;-;3542000;-;Coesivo I;
BECKER™ 25 SILTEX®;SILTEX® Microtesturizzate;Rotonda;Rotonda;250;12.1;-;3;-;3542500;-;Coesivo I;
BECKER™ 25 SILTEX®;SILTEX® Microtesturizzate;Rotonda;Rotonda;300;12.9;-;3;-;3543000;-;Coesivo I;
BECKER™ 25 SILTEX®;SILTEX® Microtesturizzate;Rotonda;Rotonda;350;14.1;-;3;-;3543500;-;Coesivo I;
BECKER™ 25 SILTEX®;SILTEX® Microtesturizzate;Rotonda;Rotonda;400;13.9;-;3.4;-;3544000;-;Coesivo I;
BECKER™ 25 SILTEX®;SILTEX® Microtesturizzate;Rotonda;Rotonda;500;14.7;-;3.7;-;3545000;-;Coesivo I;
BECKER™ 25 SILTEX®;SILTEX® Microtesturizzate;Rotonda;Rotonda;600;15.6;-;4.2;-;3546000;-;Coesivo I;
BECKER™ 25 SILTEX®;SILTEX® Microtesturizzate;Rotonda;Rotonda;700;16.8;-;4.3;-;3547000;-;Coesivo I;
BECKER™ 25 SILTEX®;SILTEX® Microtesturizzate;Rotonda;Rotonda;800;17.2;-;4.6;-;3548000;-;Coesivo I;
BECKER™ 35 SILTEX®;SILTEX® Microtesturizzate;Anatomica;Media;145;9.5;-;4.2;-;3240955;-;Coesivo II;
BECKER™ 35 SILTEX®;SILTEX® Microtesturizzate;Anatomica;Media;195;10.5;-;4.6;-;3241055;-;Coesivo II;
BECKER™ 35 SILTEX®;SILTEX® Microtesturizzate;Anatomica;Media;255;11.5;-;5.1;-;3241155;-;Coesivo II;
BECKER™ 35 SILTEX®;SILTEX® Microtesturizzate;Anatomica;Media;290;12;-;5.3;-;3241205;-;Coesivo II;
BECKER™ 35 SILTEX®;SILTEX® Microtesturizzate;Anatomica;Media;325;12.5;-;5.5;-;3241255;-;Coesivo II;
BECKER™ 35 SILTEX®;SILTEX® Microtesturizzate;Anatomica;Media;365;13;-;5.7;-;3241305;-;Coesivo II;
BECKER™ 35 SILTEX®;SILTEX® Microtesturizzate;Anatomica;Media;400;13.5;-;5.9;-;3241355;-;Coesivo II;
BECKER™ 35 SILTEX®;SILTEX® Microtesturizzate;Anatomica;Media;460;14;-;6.2;-;3241405;-;Coesivo II;
BECKER™ 35 SILTEX®;SILTEX® Microtesturizzate;Anatomica;Media;565;15;-;6.6;-;3241505;-;Coesivo II;
BECKER™ 35 SILTEX®;SILTEX® Microtesturizzate;Anatomica;Media;685;16;-;7;-;3241605;-;Coesivo II;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Bassa;250;11.4;-;6.1;-;3549121;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Bassa;250;11.4;-;6.1;-;3548121;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Bassa;350;12.7;-;6.5;-;3549122;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Bassa;350;12.7;-;6.5;-;3548122;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Bassa;450;14;-;7.1;-;3549123;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Bassa;450;14;-;7.1;-;3548123;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Bassa;550;15;-;7.4;-;3549124;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Bassa;550;15;-;7.4;-;3548124;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Bassa;650;15.7;-;7.9;-;3549125;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Bassa;650;15.7;-;7.9;-;3548125;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Media;275;10.7;-;6.2;-;3549221;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Media;275;10.7;-;6.2;-;3548221;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Media;350;11.7;-;6.6;-;3549222;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Media;350;11.7;-;6.6;-;3548222;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Media;450;12.7;-;7;-;3549223;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Media;450;12.7;-;7;-;3548223;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Media;550;13.5;-;7.4;-;3549224;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Media;550;13.5;-;7.4;-;3548224;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Media;650;14.6;-;7.6;-;3549225;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Media;650;14.6;-;7.6;-;3548225;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Media;800;15.6;-;8;-;3549226;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Media;800;15.6;-;8;-;3548226;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Alta;250;10.1;-;5.6;-;3549321;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Alta;250;10.1;-;5.6;-;3548321;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Alta;350;11.3;-;6;-;3549322;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Alta;350;11.3;-;6;-;3548322;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Alta;450;12.3;-;6.5;-;3549323;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Alta;450;12.3;-;6.5;-;3548323;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Alta;550;13.2;-;6.9;-;3549324;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Alta;550;13.2;-;6.9;-;3548324;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Alta;650;14;-;7.3;-;3549325;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Alta;650;14;-;7.3;-;3548325;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Alta;750;14.6;-;7.6;-;3549326;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Alta;750;14.6;-;7.6;-;3548326;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Alta;850;15.4;-;7.9;-;3549327;-;Salina;
Espansore CPX®4;SILTEX® Microtesturizzate;Espansore;Alta;850;15.4;-;7.9;-;3548327;-;Salina;
Espansore Liscio Rotondo;Lisce;Rotonda;Rotonda;400;11.3;-;5.9;-;3504305M;-;Salina;
Espansore Liscio Rotondo;Lisce;Rotonda;Rotonda;550;13.4;-;5.8;-;3504307M;-;Salina;
Espansore Liscio Rotondo;Lisce;Rotonda;Rotonda;700;14.6;-;6.7;-;3504304M;-;Salina;
Espansore Liscio Rotondo;Lisce;Rotonda;Rotonda;850;15;-;7.2;-;3504308M;-;Salina;
Espansore Liscio Mezzaluna;Lisce;Mezzaluna;Media;50;9;-;2.7;-;3504312M;-;Salina;
Espansore Liscio Mezzaluna;Lisce;Mezzaluna;Media;100;6.9;-;3.7;-;3504313M;-;Salina;
Espansore Liscio Mezzaluna;Lisce;Mezzaluna;Media;200;14.6;-;4.3;-;3504314M;-;Salina;
Espansore Liscio Mezzaluna;Lisce;Mezzaluna;Media;300;16.5;-;4.7;-;3504315M;-;Salina;
Espansore Liscio Mezzaluna;Lisce;Mezzaluna;Media;400;18.2;-;5.2;-;3504316M;-;Salina;
Espansore Liscio Mezzaluna;Lisce;Mezzaluna;Media;500;19.6;-;5.5;-;3504317M;-;Salina;
Espansore Liscio Rettangolare;Lisce;Rettangolare;Media;50;6.9;-;3.2;-;3504309M;-;Salina;
Espansore Liscio Rettangolare;Lisce;Rettangolare;Media;100;6.6;-;5.6;-;3504301M;-;Salina;
Espansore Liscio Rettangolare;Lisce;Rettangolare;Media;250;7.3;-;5.6;-;3504302M;-;Salina;
Espansore Liscio Rettangolare;Lisce;Rettangolare;Media;400;10.6;-;6.6;-;3504303M;-;Salina;
Espansore Liscio Rettangolare;Lisce;Rettangolare;Media;550;13.7;-;7.7;-;3504310M;-;Salina;
Espansore Liscio Rettangolare;Lisce;Rettangolare;Media;700;15;-;7.9;-;3504311M;-;Salina;
Espansore Liscio Ellittico;Lisce;Ellittica;Media;25;6;-;2.3;-;3505301M;-;Salina;
Espansore Liscio Ellittico;Lisce;Ellittica;Media;50;8;-;2.5;-;3505302M;-;Salina;
Espansore Liscio Ellittico;Lisce;Ellittica;Media;75;10;-;2.1;-;3505303M;-;Salina;
Espansore Liscio Ellittico;Lisce;Ellittica;Media;150;12;-;3.2;-;3505304M;-;Salina;
Espansore Liscio Ellittico;Lisce;Ellittica;Media;250;14;-;4.5;-;3505305M;-;Salina;
